,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7,paa_8,paa_8,paa_8,paa_8
,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end
NR. K,,,,,,,,,,,,,,,,
21,590,225,0,365,365,200,0,165,165,250,0,0,0,250,0,0
22,200,150,0,50,50,150,300,300,300,150,0,150,150,150,0,0
23,340,100,0,240,240,100,0,140,140,100,0,40,40,100,0,0
24,2970,3325,0,0,0,3150,6100,6100,6100,3500,0,2600,2600,3500,0,0
25,1960,1900,0,60,60,1800,0,0,0,2000,0,0,0,2000,0,0
27,970,950,0,20,20,900,0,0,0,1000,0,0,0,1000,0,0
28,7140,2250,0,4890,4890,2150,0,2740,2740,2350,0,390,390,2350,0,0
32,1380,1425,0,0,0,1350,2700,2700,2700,1500,0,1200,1200,1500,0,0
33,380,200,0,180,180,200,0,0,0,200,0,0,0,200,0,0
34,3280,7200,22000,22000,22000,7200,0,14800,14800,7200,0,7600,7600,7200,0,400
35,2160,1900,0,260,260,1800,3600,3600,3600,2000,0,1600,1600,2000,0,0
36,640,475,0,165,165,450,0,0,0,500,0,0,0,500,0,0
37,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0
38,650,475,0,175,175,450,0,0,0,500,0,0,0,500,0,0
39,1780,950,0,830,830,900,0,0,0,1000,0,0,0,1000,0,0
40,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0
41,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0
42,880,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0
43,540,475,0,65,65,450,2700,2700,2700,500,0,2200,2200,500,0,1700
44,910,1425,1080,1080,1080,1350,0,0,0,1500,0,0,0,1500,0,0
45,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0
46,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0
47,540,475,0,65,65,450,0,0,0,500,0,0,0,500,0,0
48,920,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0
52,1190,450,0,740,740,400,0,340,340,500,0,0,0,500,0,0
53,22440,16200,0,6240,6240,14400,0,0,0,18000,0,0,0,18000,0,0
57,400,300,0,100,100,300,0,0,0,300,0,0,0,300,0,0
58,15200,11000,0,4200,4200,11000,22000,22000,22000,11000,0,11000,11000,11000,0,0
59,900,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0
