,paa_3,paa_3,paa_3,paa_3,paa_4,paa_4,paa_4,paa_4,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6
,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end
NR. K,,,,,,,,,,,,,,,,
21,50,250,300,300,300,200,0,100,100,250,0,0,0,250,0,0
22,100,100,300,300,300,100,0,200,200,150,0,50,50,150,0,0
23,100,10,0,90,90,50,0,40,40,100,0,0,0,100,0,0
24,7650,2520,0,5130,5130,2450,0,2680,2680,3500,0,0,0,3500,0,0
25,4600,1440,0,3160,3160,1400,0,1760,1760,2000,0,0,0,2000,0,0
27,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0
28,5800,1560,0,4240,4240,1600,0,2640,2640,2350,0,290,290,2350,0,0
32,3490,1080,0,2410,2410,1050,0,1360,1360,1500,0,0,0,1500,0,0
33,500,20,0,480,480,100,0,380,380,200,0,180,180,200,0,0
34,7600,720,0,6880,6880,3600,0,3280,3280,7200,0,0,0,7200,0,0
35,4620,1440,0,3180,3180,1400,0,1780,1780,2000,0,0,0,2000,0,0
36,1160,360,0,800,800,350,0,450,450,500,0,0,0,500,0,0
37,250,360,900,900,900,350,0,550,550,500,0,50,50,500,0,0
38,650,360,0,290,290,350,0,0,0,500,0,0,0,500,0,0
39,1400,720,0,680,680,700,0,0,0,1000,0,0,0,1000,0,0
40,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0
41,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0
42,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0
43,1250,360,0,890,890,350,0,540,540,500,0,40,40,500,0,0
44,2010,1080,0,930,930,1050,0,0,0,1500,0,0,0,1500,0,0
45,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0
46,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0
47,1240,360,0,880,880,350,0,530,530,500,0,30,30,500,0,0
48,2360,720,0,1640,1640,700,0,940,940,1000,0,0,0,1000,0,0
52,700,500,0,200,200,400,0,0,0,500,0,0,0,500,0,0
53,26000,18000,0,8000,8000,14400,0,0,0,18000,0,0,0,18000,0,0
57,800,200,0,600,600,200,0,400,400,300,0,100,100,300,0,0
58,29600,7220,0,22380,22380,7300,0,15080,15080,11000,0,4080,4080,11000,0,0
59,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0
