,paa_4,paa_4,paa_4,paa_4,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7
,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end
NR. K,,,,,,,,,,,,,,,,
21,150,250,0,0,0,200,300,300,300,250,0,50,50,250,0,0
22,300,100,0,200,200,100,0,100,100,150,0,0,0,150,0,0
23,50,10,300,340,340,50,0,290,290,100,0,190,190,100,0,90
24,5200,2520,0,2680,2680,2450,0,230,230,3500,6100,6100,6100,3500,0,2600
25,3200,1440,0,1760,1760,1400,0,360,360,2000,0,0,0,2000,0,0
27,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0
28,4200,1560,0,2640,2640,1600,0,1040,1040,2350,0,0,0,2350,0,0
32,2440,1080,0,1360,1360,1050,0,310,310,1500,0,0,0,1500,0,0
33,400,20,0,380,380,100,0,280,280,200,0,80,80,200,0,0
34,4000,720,0,3280,3280,3600,0,0,0,7200,0,0,0,7200,0,0
35,3260,1440,0,1820,1820,1400,0,420,420,2000,0,0,0,2000,0,0
36,830,360,0,470,470,350,0,120,120,500,0,0,0,500,0,0
37,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0
38,650,360,0,290,290,350,0,0,0,500,0,0,0,500,0,0
39,700,720,1800,1800,1800,700,0,1100,1100,1000,0,100,100,1000,0,0
40,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0
41,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0
42,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0
43,900,360,0,540,540,350,0,190,190,500,0,0,0,500,0,0
44,2050,1080,0,970,970,1050,0,0,0,1500,0,0,0,1500,0,0
45,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0
46,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0
47,890,360,0,530,530,350,0,180,180,500,0,0,0,500,0,0
48,1700,720,0,980,980,700,0,280,280,1000,0,0,0,1000,0,0
52,300,500,0,0,0,400,600,600,600,500,0,100,100,500,0,0
53,11600,18000,22000,22000,22000,14400,0,7600,7600,18000,0,0,0,18000,0,0
57,600,200,0,400,400,200,0,200,200,300,0,0,0,300,0,0
58,22400,7220,0,15180,15180,7300,0,7880,7880,11000,0,0,0,11000,0,0
59,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0
