,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7,paa_8,paa_8,paa_8,paa_8,paa_9,paa_9,paa_9,paa_9
,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end
NR. K,,,,,,,,,,,,,,,,
21,275,25,0,250,250,150,225,325,325,200,0,125,125,200,0,0
22,400,250,0,150,150,200,0,0,0,200,0,0,0,200,0,0
23,340,100,0,240,240,100,0,140,140,150,0,0,0,150,0,0
24,5,2625,9425,9425,9425,3150,0,6275,6275,3850,0,2425,2425,3850,0,0
25,2000,1500,0,500,500,1800,0,0,0,2200,0,0,0,2200,0,0
27,1040,750,0,290,290,900,0,0,0,1100,0,0,0,1100,0,0
28,4890,1950,0,2940,2940,2200,0,740,740,2700,0,0,0,2700,0,0
32,5,1125,4125,4125,4125,1350,0,2775,2775,1650,0,1125,1125,1650,0,0
33,380,200,0,180,180,200,0,0,0,300,0,0,0,300,0,0
34,18080,7200,0,10880,10880,7200,0,3680,3680,10800,0,0,0,10800,0,0
35,0,1500,3600,3600,3600,1800,0,1800,1800,2200,0,0,0,2200,0,0
36,35,375,475,475,475,450,0,25,25,550,0,0,0,550,0,0
37,440,375,0,65,65,450,0,0,0,550,0,0,0,550,0,0
38,650,375,0,275,275,450,0,0,0,550,0,0,0,550,0,0
39,830,750,950,1030,1030,900,0,130,130,1100,0,0,0,1100,0,0
40,690,375,0,315,315,450,0,0,0,550,0,0,0,550,0,0
41,690,375,0,315,315,450,0,0,0,550,0,0,0,550,0,0
42,1380,750,0,630,630,900,0,0,0,1100,0,0,0,1100,0,0
43,95,375,2700,2700,2700,450,0,2250,2250,550,0,1700,1700,550,0,1150
44,555,1125,1425,1425,1425,1350,0,75,75,1650,0,0,0,1650,0,0
45,470,375,0,95,95,450,0,0,0,550,0,0,0,550,0,0
46,470,375,0,95,95,450,0,0,0,550,0,0,0,550,0,0
47,480,375,0,105,105,450,0,0,0,550,0,0,0,550,0,0
48,880,750,0,130,130,900,0,0,0,1100,0,0,0,1100,0,0
52,570,50,0,520,520,300,0,220,220,400,0,0,0,400,0,0
53,120,1800,16200,16200,16200,10800,0,5400,5400,14400,0,0,0,14400,0,0
57,100,500,0,0,0,400,300,300,300,400,0,0,0,400,0,0
58,26400,18200,0,8200,8200,14600,0,0,0,14700,0,0,0,14700,0,0
59,940,750,0,190,190,900,0,0,0,1100,0,0,0,1100,0,0
