,u,NR,menge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,K,4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
5,D,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
6,H,6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
7,K,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
8,D,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
9,H,9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
10,K,10,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
11,D,11,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
12,H,12,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
13,K,13,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
14,D,14,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
15,H,15,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
16,KDH,16,300,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
17,KDH,17,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
18,K,18,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D,19,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
20,H,20,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KDH,26,300,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
49,K,49,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,D,54,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H,29,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,K,50,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,D,55,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,H,30,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,K,51,100,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,D,56,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,H,31,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,1,100,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,2,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,3,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed,,,,1800.0,1500.0,1700.0,2000.0,0.0,1500.0,2400.0,1900.0,2400.0,2400.0,1800.0,1800.0,1200.0,900.0,1800.0
rüstzeit,,,,60.0,60.0,60.0,60.0,0.0,60.0,400.0,360.0,360.0,120.0,120.0,120.0,120.0,20.0,40.0
timeneed_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,470.0,547.0,360.0,0.0,150.0,0.0,0.0,0.0,240.0
rüstzeit_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0
total_need,,,,1860.0,1560.0,1760.0,2060.0,0.0,1560.0,3290.0,2807.0,3140.0,2520.0,2070.0,1920.0,1320.0,920.0,2110.0
Überstunden_total,,,,0,0,0,0,0,0,890.0,407.0,740.0,120.0,0,0,0,0,0
überstunden_tag,,,,0,0,0,0,0,0,178.0,81.4,148.0,24.0,0,0,0,0,0
Schichten,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
