,u,NR,menge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,K,4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
5,D,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
6,H,6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
7,K,7,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
8,D,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
9,H,9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
10,K,10,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,150.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
11,D,11,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
12,H,12,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
13,K,13,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,150.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
14,D,14,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
15,H,15,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
16,KDH,16,350,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0
17,KDH,17,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0
18,K,18,150,0.0,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D,19,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
20,H,20,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KDH,26,350,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0
49,K,49,150,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,D,54,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H,29,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,K,50,150,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,D,55,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,H,30,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,K,51,150,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,D,56,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,H,31,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,1,150,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,2,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,3,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed,,,,2100.0,1750.0,1950.0,2300.0,0.0,1750.0,2800.0,2150.0,2800.0,2800.0,2100.0,2100.0,1400.0,1050.0,2100.0
rüstzeit,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,460.0,540.0,360.0,0.0,120.0,0.0,0.0,0.0,210.0
rüstzeit_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_need,,,,2100.0,1750.0,1950.0,2300.0,0.0,1750.0,3260.0,2690.0,3160.0,2800.0,2220.0,2100.0,1400.0,1050.0,2310.0
Überstunden_total,,,,0,0,0,0,0,0,860.0,290.0,760.0,400.0,0,0,0,0,0
überstunden_tag,,,,0,0,0,0,0,0,172.0,58.0,152.0,80.0,0,0,0,0,0
Schichten,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
