,u,NR,menge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,K,4,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
5,D,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
6,H,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,150.0,0.0,0.0,0.0,0.0
7,K,7,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
8,D,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
9,H,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,150.0,0.0,0.0,0.0,0.0
10,K,10,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,150.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
11,D,11,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
12,H,12,50,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,150.0,0.0,0.0,150.0,100.0,0.0,0.0
13,K,13,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,150.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
14,D,14,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
15,H,15,50,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,150.0,0.0,0.0,150.0,100.0,0.0,0.0
16,KDH,16,300,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0
17,KDH,17,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
18,K,18,150,0.0,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D,19,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
20,H,20,50,0.0,0.0,0.0,0.0,0.0,150.0,100.0,150.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KDH,26,300,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
49,K,49,150,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,D,54,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H,29,50,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,K,50,150,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,D,55,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,H,30,50,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,K,51,150,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,D,56,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,H,31,50,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,1,150,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,2,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,3,50,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed,,,,1800.0,1500.0,1650.0,1950.0,0.0,1500.0,2400.0,1800.0,2400.0,2400.0,1800.0,1800.0,1200.0,900.0,1800.0
rüstzeit,,,,60.0,60.0,60.0,60.0,0.0,60.0,400.0,360.0,360.0,120.0,120.0,120.0,120.0,20.0,40.0
timeneed_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,135.0,0.0,40.0,0.0,0.0,0.0,270.0
rüstzeit_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0
total_need,,,,1860.0,1560.0,1710.0,2010.0,0.0,1560.0,2900.0,2160.0,2915.0,2520.0,1960.0,1920.0,1320.0,920.0,2140.0
Überstunden_total,,,,0,0,0,0,0,0,500.0,0,515.0,120.0,0,0,0,0,0
überstunden_tag,,,,0,0,0,0,0,0,100.0,0,103.0,24.0,0,0,0,0,0
Schichten,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
