,u,NR,menge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,K,4,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,750.0,0.0,0.0,0.0,0.0
5,D,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
6,H,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0
7,K,7,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,750.0,0.0,0.0,0.0,0.0
8,D,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
9,H,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0
10,K,10,250,0.0,0.0,0.0,0.0,0.0,0.0,500.0,250.0,750.0,0.0,0.0,750.0,500.0,0.0,0.0
11,D,11,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
12,H,12,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30.0,0.0,0.0,30.0,20.0,0.0,0.0
13,K,13,250,0.0,0.0,0.0,0.0,0.0,0.0,500.0,250.0,750.0,0.0,0.0,750.0,500.0,0.0,0.0
14,D,14,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
15,H,15,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30.0,0.0,0.0,30.0,20.0,0.0,0.0
16,KDH,16,360,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0
17,KDH,17,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0
18,K,18,250,0.0,0.0,0.0,0.0,0.0,750.0,500.0,750.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D,19,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
20,H,20,10,0.0,0.0,0.0,0.0,0.0,30.0,20.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KDH,26,360,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0
49,K,49,250,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,D,54,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H,29,10,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,K,50,250,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,D,55,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,H,30,10,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,K,51,250,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,D,56,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,H,31,10,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,1,250,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,2,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,3,10,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed,,,,2160.0,1800.0,1910.0,2270.0,0.0,1800.0,2880.0,2020.0,2880.0,2880.0,2160.0,2160.0,1440.0,1080.0,2160.0
rüstzeit,,,,60.0,60.0,60.0,60.0,0.0,60.0,400.0,360.0,360.0,120.0,120.0,120.0,120.0,20.0,40.0
timeneed_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,170.0,75.0,90.0,0.0,114.0,0.0,0.0,0.0,270.0
rüstzeit_p-1,,,,0.0,0.0,0.0,0.0,0.0,0.0,80.0,30.0,80.0,0.0,10.0,0.0,0.0,0.0,80.0
total_need,,,,2220.0,1860.0,1970.0,2330.0,0.0,1860.0,3530.0,2485.0,3410.0,3000.0,2404.0,2280.0,1560.0,1100.0,2550.0
Überstunden_total,,,,0,0,0,0,0,0,1130.0,85.0,1010.0,600.0,4.0,0,0,0,150.0
überstunden_tag,,,,0,0,0,0,0,0,226.0,17.0,202.0,120.0,0.8,0,0,0,30.0
Schichten,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
