,NR. K,Lieferfrist,Abweichung,P1,P2,P3,Diskontmenge,amount,Bedarf_5,Bedarf_6,Bedarf_7,Bedarf_8,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7,paa_8,paa_8,paa_8,paa_8,need_order,need_to_order,need_to_order_iff,order_type,min_order_amount
,,,,,,,,,,,,,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,,,,,
0,21,1.8,0.4,1,0,0,300,590,225,200,250,250,590,225,0,365,365,200,0,165,165,250,0,0,0,250,0,0,8,5.0,6.0,n,225.0
1,22,1.7,0.4,0,1,0,300,200,150,150,150,150,200,150,0,50,50,150,300,300,300,150,0,150,150,150,0,0,9,6.0,7.0,,0.0
2,23,1.2,0.2,0,0,1,300,340,100,100,100,100,340,100,0,240,240,100,0,140,140,100,0,40,40,100,0,0,9,7.0,8.0,,0.0
3,24,3.2,0.3,7,7,7,6100,2970,3325,3150,3500,3500,2970,3325,0,0,0,3150,6100,6100,6100,3500,0,2600,2600,3500,0,0,6,2.0,4.0,f,3325.0
4,25,0.9,0.2,4,4,4,3600,1960,1900,1800,2000,2000,1960,1900,0,60,60,1800,0,0,0,2000,0,0,0,2000,0,0,7,5.0,6.0,n,1900.0
5,27,0.9,0.2,2,2,2,1800,970,950,900,1000,1000,970,950,0,20,20,900,0,0,0,1000,0,0,0,1000,0,0,7,5.0,6.0,n,950.0
6,28,1.7,0.4,4,5,6,4500,7140,2250,2150,2350,2350,7140,2250,0,4890,4890,2150,0,2740,2740,2350,0,390,390,2350,0,0,9,6.0,7.0,,0.0
7,32,2.1,0.5,3,3,3,2700,1380,1425,1350,1500,1500,1380,1425,0,0,0,1350,2700,2700,2700,1500,0,1200,1200,1500,0,0,6,3.0,4.0,f,1425.0
8,33,1.9,0.5,0,0,2,900,380,200,200,200,200,380,200,0,180,180,200,0,0,0,200,0,0,0,200,0,0,7,4.0,5.0,f,200.0
9,34,1.6,0.3,0,0,72,22000,3280,7200,7200,7200,7200,3280,7200,22000,22000,22000,7200,0,14800,14800,7200,0,7600,7600,7200,0,400,10,8.0,9.0,,0.0
10,35,2.2,0.4,4,4,4,3600,2160,1900,1800,2000,2000,2160,1900,0,260,260,1800,3600,3600,3600,2000,0,1600,1600,2000,0,0,9,6.0,7.0,,0.0
11,36,1.2,0.1,1,1,1,900,640,475,450,500,500,640,475,0,165,165,450,0,0,0,500,0,0,0,500,0,0,7,5.0,6.0,n,475.0
12,37,1.5,0.3,1,1,1,900,440,475,450,500,500,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0,6,4.0,5.0,f,475.0
13,38,1.7,0.4,1,1,1,300,650,475,450,500,500,650,475,0,175,175,450,0,0,0,500,0,0,0,500,0,0,7,4.0,5.0,f,475.0
14,39,1.5,0.3,2,2,2,1800,1780,950,900,1000,1000,1780,950,0,830,830,900,0,0,0,1000,0,0,0,1000,0,0,7,5.0,6.0,n,950.0
15,40,1.7,0.2,1,1,1,900,440,475,450,500,500,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0,6,4.0,5.0,f,475.0
16,41,0.9,0.2,1,1,1,900,440,475,450,500,500,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0,6,4.0,5.0,f,475.0
17,42,1.2,0.3,2,2,2,1800,880,950,900,1000,1000,880,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0,6,4.0,5.0,f,950.0
18,43,2.0,0.5,1,1,1,2700,540,475,450,500,500,540,475,0,65,65,450,2700,2700,2700,500,0,2200,2200,500,0,1700,10,7.0,8.0,,0.0
19,44,1.0,0.2,3,3,3,900,910,1425,1350,1500,1500,910,1425,1080,1080,1080,1350,0,0,0,1500,0,0,0,1500,0,0,7,5.0,6.0,n,1425.0
20,45,1.7,0.3,1,1,1,900,440,475,450,500,500,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0,6,4.0,5.0,f,475.0
21,46,0.9,0.3,1,1,1,900,440,475,450,500,500,440,475,0,0,0,450,0,0,0,500,0,0,0,500,0,0,6,4.0,5.0,f,475.0
22,47,1.1,0.1,1,1,1,900,540,475,450,500,500,540,475,0,65,65,450,0,0,0,500,0,0,0,500,0,0,7,5.0,6.0,n,475.0
23,48,1.0,0.2,2,2,2,1800,920,950,900,1000,1000,920,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0,6,4.0,5.0,f,950.0
24,52,1.6,0.4,2,0,0,600,1190,450,400,500,500,1190,450,0,740,740,400,0,340,340,500,0,0,0,500,0,0,8,6.0,7.0,,0.0
25,53,1.6,0.2,72,0,0,22000,22440,16200,14400,18000,18000,22440,16200,0,6240,6240,14400,0,0,0,18000,0,0,0,18000,0,0,7,5.0,6.0,n,16200.0
26,57,1.7,0.3,0,2,0,600,400,300,300,300,300,400,300,0,100,100,300,0,0,0,300,0,0,0,300,0,0,7,5.0,6.0,n,300.0
27,58,1.6,0.5,0,72,2,22000,15200,11000,11000,11000,11000,15200,11000,0,4200,4200,11000,22000,22000,22000,11000,0,11000,11000,11000,0,0,9,6.0,7.0,,0.0
28,59,0.7,0.2,2,2,2,1800,900,950,900,1000,1000,900,950,0,0,0,900,0,0,0,1000,0,0,0,1000,0,0,6,5.0,5.0,n,950.0
