,NR. K,Lieferfrist,Abweichung,P1,P2,P3,Diskontmenge,amount,Bedarf_6,Bedarf_7,Bedarf_8,Bedarf_9,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7,paa_8,paa_8,paa_8,paa_8,paa_9,paa_9,paa_9,paa_9,need_order,need_to_order,need_to_order_iff,order_type,min_order_amount
,,,,,,,,,,,,,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,,,,,
0,21,1.8,0.4,1,0,0,300,275,25,150,200,200,275,25,0,250,250,150,225,325,325,200,0,125,125,200,0,0,10,7.0,8.0,,0.0
1,22,1.7,0.4,0,1,0,300,400,250,200,200,200,400,250,0,150,150,200,0,0,0,200,0,0,0,200,0,0,8,5.0,6.0,f,250.0
2,23,1.2,0.2,0,0,1,300,340,100,100,150,150,340,100,0,240,240,100,0,140,140,150,0,0,0,150,0,0,9,7.0,8.0,,0.0
3,24,3.2,0.3,7,7,7,6100,5,2625,3150,3850,3850,5,2625,9425,9425,9425,3150,0,6275,6275,3850,0,2425,2425,3850,0,0,10,6.0,8.0,n,2625.0
4,25,0.9,0.2,4,4,4,3600,2000,1500,1800,2200,2200,2000,1500,0,500,500,1800,0,0,0,2200,0,0,0,2200,0,0,8,6.0,7.0,n,1500.0
5,27,0.9,0.2,2,2,2,1800,1040,750,900,1100,1100,1040,750,0,290,290,900,0,0,0,1100,0,0,0,1100,0,0,8,6.0,7.0,n,750.0
6,28,1.7,0.4,4,5,6,4500,4890,1950,2200,2700,2700,4890,1950,0,2940,2940,2200,0,740,740,2700,0,0,0,2700,0,0,9,6.0,7.0,n,1950.0
7,32,2.1,0.5,3,3,3,2700,5,1125,1350,1650,1650,5,1125,4125,4125,4125,1350,0,2775,2775,1650,0,1125,1125,1650,0,0,10,7.0,8.0,,0.0
8,33,1.9,0.5,0,0,2,900,380,200,200,300,300,380,200,0,180,180,200,0,0,0,300,0,0,0,300,0,0,8,5.0,6.0,f,200.0
9,34,1.6,0.3,0,0,72,22000,18080,7200,7200,10800,10800,18080,7200,0,10880,10880,7200,0,3680,3680,10800,0,0,0,10800,0,0,9,7.0,8.0,,0.0
10,35,2.2,0.4,4,4,4,3600,0,1500,1800,2200,2200,0,1500,3600,3600,3600,1800,0,1800,1800,2200,0,0,0,2200,0,0,9,6.0,7.0,n,1500.0
11,36,1.2,0.1,1,1,1,900,35,375,450,550,550,35,375,475,475,475,450,0,25,25,550,0,0,0,550,0,0,9,7.0,8.0,,0.0
12,37,1.5,0.3,1,1,1,900,440,375,450,550,550,440,375,0,65,65,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
13,38,1.7,0.4,1,1,1,300,650,375,450,550,550,650,375,0,275,275,450,0,0,0,550,0,0,0,550,0,0,8,5.0,6.0,f,375.0
14,39,1.5,0.3,2,2,2,1800,830,750,900,1100,1100,830,750,950,1030,1030,900,0,130,130,1100,0,0,0,1100,0,0,9,7.0,8.0,,0.0
15,40,1.7,0.2,1,1,1,900,690,375,450,550,550,690,375,0,315,315,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
16,41,0.9,0.2,1,1,1,900,690,375,450,550,550,690,375,0,315,315,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
17,42,1.2,0.3,2,2,2,1800,1380,750,900,1100,1100,1380,750,0,630,630,900,0,0,0,1100,0,0,0,1100,0,0,8,6.0,7.0,n,750.0
18,43,2.0,0.5,1,1,1,2700,95,375,450,550,550,95,375,2700,2700,2700,450,0,2250,2250,550,0,1700,1700,550,0,1150,11,8.0,9.0,,0.0
19,44,1.0,0.2,3,3,3,900,555,1125,1350,1650,1650,555,1125,1425,1425,1425,1350,0,75,75,1650,0,0,0,1650,0,0,9,7.0,8.0,,0.0
20,45,1.7,0.3,1,1,1,900,470,375,450,550,550,470,375,0,95,95,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
21,46,0.9,0.3,1,1,1,900,470,375,450,550,550,470,375,0,95,95,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
22,47,1.1,0.1,1,1,1,900,480,375,450,550,550,480,375,0,105,105,450,0,0,0,550,0,0,0,550,0,0,8,6.0,7.0,n,375.0
23,48,1.0,0.2,2,2,2,1800,880,750,900,1100,1100,880,750,0,130,130,900,0,0,0,1100,0,0,0,1100,0,0,8,6.0,7.0,n,750.0
24,52,1.6,0.4,2,0,0,600,570,50,300,400,400,570,50,0,520,520,300,0,220,220,400,0,0,0,400,0,0,9,7.0,8.0,,0.0
25,53,1.6,0.2,72,0,0,22000,120,1800,10800,14400,14400,120,1800,16200,16200,16200,10800,0,5400,5400,14400,0,0,0,14400,0,0,9,7.0,8.0,,0.0
26,57,1.7,0.3,0,2,0,600,100,500,400,400,400,100,500,0,0,0,400,300,300,300,400,0,0,0,400,0,0,7,5.0,6.0,f,500.0
27,58,1.6,0.5,0,72,2,22000,26400,18200,14600,14700,14700,26400,18200,0,8200,8200,14600,0,0,0,14700,0,0,0,14700,0,0,8,5.0,6.0,f,18200.0
28,59,0.7,0.2,2,2,2,1800,940,750,900,1100,1100,940,750,0,190,190,900,0,0,0,1100,0,0,0,1100,0,0,8,7.0,7.0,,0.0
