,NR. K,Lieferfrist,Abweichung,P1,P2,P3,Diskontmenge,amount,Bedarf_4,Bedarf_5,Bedarf_6,Bedarf_7,paa_4,paa_4,paa_4,paa_4,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6,paa_7,paa_7,paa_7,paa_7,need_order,need_to_order,need_to_order_iff,order_type,min_order_amount
,,,,,,,,,,,,,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,,,,,
0,21,1.8,0.4,1,0,0,300,150,250,200,250,250,150,250,0,0,0,200,300,300,300,250,0,50,50,250,0,0,5,2.0,3.0,f,250.0
1,22,1.7,0.4,0,1,0,300,300,100,100,150,150,300,100,0,200,200,100,0,100,100,150,0,0,0,150,0,0,7,4.0,5.0,n,100.0
2,23,1.2,0.2,0,0,1,300,50,10,50,100,100,50,10,300,340,340,50,0,290,290,100,0,190,190,100,0,90,9,7.0,8.0,,0.0
3,24,3.2,0.3,7,7,7,6100,5200,2520,2450,3500,3500,5200,2520,0,2680,2680,2450,0,230,230,3500,6100,6100,6100,3500,0,2600,9,5.0,7.0,,0.0
4,25,0.9,0.2,4,4,4,3600,3200,1440,1400,2000,2000,3200,1440,0,1760,1760,1400,0,360,360,2000,0,0,0,2000,0,0,7,5.0,6.0,,0.0
5,27,0.9,0.2,2,2,2,1800,1600,720,700,1000,1000,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0,7,5.0,6.0,,0.0
6,28,1.7,0.4,4,5,6,4500,4200,1560,1600,2350,2350,4200,1560,0,2640,2640,1600,0,1040,1040,2350,0,0,0,2350,0,0,7,4.0,5.0,n,1560.0
7,32,2.1,0.5,3,3,3,2700,2440,1080,1050,1500,1500,2440,1080,0,1360,1360,1050,0,310,310,1500,0,0,0,1500,0,0,7,4.0,5.0,n,1080.0
8,33,1.9,0.5,0,0,2,900,400,20,100,200,200,400,20,0,380,380,100,0,280,280,200,0,80,80,200,0,0,8,5.0,6.0,,0.0
9,34,1.6,0.3,0,0,72,22000,4000,720,3600,7200,7200,4000,720,0,3280,3280,3600,0,0,0,7200,0,0,0,7200,0,0,6,4.0,5.0,n,720.0
10,35,2.2,0.4,4,4,4,3600,3260,1440,1400,2000,2000,3260,1440,0,1820,1820,1400,0,420,420,2000,0,0,0,2000,0,0,7,4.0,5.0,n,1440.0
11,36,1.2,0.1,1,1,1,900,830,360,350,500,500,830,360,0,470,470,350,0,120,120,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
12,37,1.5,0.3,1,1,1,900,800,360,350,500,500,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
13,38,1.7,0.4,1,1,1,300,650,360,350,500,500,650,360,0,290,290,350,0,0,0,500,0,0,0,500,0,0,6,3.0,4.0,f,360.0
14,39,1.5,0.3,2,2,2,1800,700,720,700,1000,1000,700,720,1800,1800,1800,700,0,1100,1100,1000,0,100,100,1000,0,0,8,6.0,7.0,,0.0
15,40,1.7,0.2,1,1,1,900,800,360,350,500,500,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
16,41,0.9,0.2,1,1,1,900,800,360,350,500,500,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
17,42,1.2,0.3,2,2,2,1800,1600,720,700,1000,1000,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0,7,5.0,6.0,,0.0
18,43,2.0,0.5,1,1,1,2700,900,360,350,500,500,900,360,0,540,540,350,0,190,190,500,0,0,0,500,0,0,7,4.0,5.0,n,360.0
19,44,1.0,0.2,3,3,3,900,2050,1080,1050,1500,1500,2050,1080,0,970,970,1050,0,0,0,1500,0,0,0,1500,0,0,6,4.0,5.0,n,1080.0
20,45,1.7,0.3,1,1,1,900,800,360,350,500,500,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
21,46,0.9,0.3,1,1,1,900,800,360,350,500,500,800,360,0,440,440,350,0,90,90,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
22,47,1.1,0.1,1,1,1,900,890,360,350,500,500,890,360,0,530,530,350,0,180,180,500,0,0,0,500,0,0,7,5.0,6.0,,0.0
23,48,1.0,0.2,2,2,2,1800,1700,720,700,1000,1000,1700,720,0,980,980,700,0,280,280,1000,0,0,0,1000,0,0,7,5.0,6.0,,0.0
24,52,1.6,0.4,2,0,0,600,300,500,400,500,500,300,500,0,0,0,400,600,600,600,500,0,100,100,500,0,0,5,3.0,4.0,f,500.0
25,53,1.6,0.2,72,0,0,22000,11600,18000,14400,18000,18000,11600,18000,22000,22000,22000,14400,0,7600,7600,18000,0,0,0,18000,0,0,7,5.0,6.0,,0.0
26,57,1.7,0.3,0,2,0,600,600,200,200,300,300,600,200,0,400,400,200,0,200,200,300,0,0,0,300,0,0,7,5.0,6.0,,0.0
27,58,1.6,0.5,0,72,2,22000,22400,7220,7300,11000,11000,22400,7220,0,15180,15180,7300,0,7880,7880,11000,0,0,0,11000,0,0,7,4.0,5.0,n,7220.0
28,59,0.7,0.2,2,2,2,1800,1600,720,700,1000,1000,1600,720,0,880,880,700,0,180,180,1000,0,0,0,1000,0,0,7,6.0,6.0,,0.0
