,NR. K,Lieferfrist,Abweichung,P1,P2,P3,Diskontmenge,amount,Bedarf_3,Bedarf_4,Bedarf_5,Bedarf_6,paa_3,paa_3,paa_3,paa_3,paa_4,paa_4,paa_4,paa_4,paa_5,paa_5,paa_5,paa_5,paa_6,paa_6,paa_6,paa_6,need_order,need_to_order,need_to_order_iff,order_type,min_order_amount
,,,,,,,,,,,,,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,,,,,
0,21,1.8,0.4,1,0,0,300,50,250,200,250,250,50,250,300,300,300,200,0,100,100,250,0,0,0,250,0,0,6,3.0,4.0,n,250.0
1,22,1.7,0.4,0,1,0,300,100,100,100,150,150,100,100,300,300,300,100,0,200,200,150,0,50,50,150,0,0,7,4.0,5.0,,0.0
2,23,1.2,0.2,0,0,1,300,100,10,50,100,100,100,10,0,90,90,50,0,40,40,100,0,0,0,100,0,0,6,4.0,5.0,,0.0
3,24,3.2,0.3,7,7,7,6100,7650,2520,2450,3500,3500,7650,2520,0,5130,5130,2450,0,2680,2680,3500,0,0,0,3500,0,0,6,2.0,4.0,f,2520.0
4,25,0.9,0.2,4,4,4,3600,4600,1440,1400,2000,2000,4600,1440,0,3160,3160,1400,0,1760,1760,2000,0,0,0,2000,0,0,6,4.0,5.0,,0.0
5,27,0.9,0.2,2,2,2,1800,2300,720,700,1000,1000,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0,6,4.0,5.0,,0.0
6,28,1.7,0.4,4,5,6,4500,5800,1560,1600,2350,2350,5800,1560,0,4240,4240,1600,0,2640,2640,2350,0,290,290,2350,0,0,7,4.0,5.0,,0.0
7,32,2.1,0.5,3,3,3,2700,3490,1080,1050,1500,1500,3490,1080,0,2410,2410,1050,0,1360,1360,1500,0,0,0,1500,0,0,6,3.0,4.0,n,1080.0
8,33,1.9,0.5,0,0,2,900,500,20,100,200,200,500,20,0,480,480,100,0,380,380,200,0,180,180,200,0,0,7,4.0,5.0,,0.0
9,34,1.6,0.3,0,0,72,22000,7600,720,3600,7200,7200,7600,720,0,6880,6880,3600,0,3280,3280,7200,0,0,0,7200,0,0,6,4.0,5.0,,0.0
10,35,2.2,0.4,4,4,4,3600,4620,1440,1400,2000,2000,4620,1440,0,3180,3180,1400,0,1780,1780,2000,0,0,0,2000,0,0,6,3.0,4.0,n,1440.0
11,36,1.2,0.1,1,1,1,900,1160,360,350,500,500,1160,360,0,800,800,350,0,450,450,500,0,0,0,500,0,0,6,4.0,5.0,,0.0
12,37,1.5,0.3,1,1,1,900,250,360,350,500,500,250,360,900,900,900,350,0,550,550,500,0,50,50,500,0,0,7,5.0,6.0,,0.0
13,38,1.7,0.4,1,1,1,300,650,360,350,500,500,650,360,0,290,290,350,0,0,0,500,0,0,0,500,0,0,5,2.0,3.0,f,360.0
14,39,1.5,0.3,2,2,2,1800,1400,720,700,1000,1000,1400,720,0,680,680,700,0,0,0,1000,0,0,0,1000,0,0,5,3.0,4.0,n,720.0
15,40,1.7,0.2,1,1,1,900,1150,360,350,500,500,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0,6,4.0,5.0,,0.0
16,41,0.9,0.2,1,1,1,900,1150,360,350,500,500,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0,6,4.0,5.0,,0.0
17,42,1.2,0.3,2,2,2,1800,2300,720,700,1000,1000,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0,6,4.0,5.0,,0.0
18,43,2.0,0.5,1,1,1,2700,1250,360,350,500,500,1250,360,0,890,890,350,0,540,540,500,0,40,40,500,0,0,7,4.0,5.0,,0.0
19,44,1.0,0.2,3,3,3,900,2010,1080,1050,1500,1500,2010,1080,0,930,930,1050,0,0,0,1500,0,0,0,1500,0,0,5,3.0,4.0,n,1080.0
20,45,1.7,0.3,1,1,1,900,1150,360,350,500,500,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0,6,4.0,5.0,,0.0
21,46,0.9,0.3,1,1,1,900,1150,360,350,500,500,1150,360,0,790,790,350,0,440,440,500,0,0,0,500,0,0,6,4.0,5.0,,0.0
22,47,1.1,0.1,1,1,1,900,1240,360,350,500,500,1240,360,0,880,880,350,0,530,530,500,0,30,30,500,0,0,7,5.0,6.0,,0.0
23,48,1.0,0.2,2,2,2,1800,2360,720,700,1000,1000,2360,720,0,1640,1640,700,0,940,940,1000,0,0,0,1000,0,0,6,4.0,5.0,,0.0
24,52,1.6,0.4,2,0,0,600,700,500,400,500,500,700,500,0,200,200,400,0,0,0,500,0,0,0,500,0,0,5,3.0,4.0,n,500.0
25,53,1.6,0.2,72,0,0,22000,26000,18000,14400,18000,18000,26000,18000,0,8000,8000,14400,0,0,0,18000,0,0,0,18000,0,0,5,3.0,4.0,n,18000.0
26,57,1.7,0.3,0,2,0,600,800,200,200,300,300,800,200,0,600,600,200,0,400,400,300,0,100,100,300,0,0,7,5.0,6.0,,0.0
27,58,1.6,0.5,0,72,2,22000,29600,7220,7300,11000,11000,29600,7220,0,22380,22380,7300,0,15080,15080,11000,0,4080,4080,11000,0,0,7,4.0,5.0,,0.0
28,59,0.7,0.2,2,2,2,1800,2300,720,700,1000,1000,2300,720,0,1580,1580,700,0,880,880,1000,0,0,0,1000,0,0,6,5.0,5.0,,0.0
